Number;Id;Title;Unit;Type
0;{69a2e121-e58f-4cd0-8221-7affb7dc796e};Краткая справка перед началом;Первое знакомство с C#;Slide
1;{B0F478B3-436E-430B-B236-11877DD61864};О курсе;Первое знакомство с C#;Slide
2;{7FB8D0CC-B551-485B-8D0B-37993D1B4B08};Hello world;Первое знакомство с C#;Slide
3;{90BCB61E-57F0-4BAA-8BC9-10C9CFD27F58};Первый шаг;Первое знакомство с C#;ExerciseSlide
4;{a36a9029-b83f-436e-a2b9-81e519d9a32d};Источники информации;Первое знакомство с C#;Slide
5;{f1953527-ac7a-4bb7-93fc-14bb9d2de249};Числовые типы данных;Первое знакомство с C#;Slide
6;{38FD7DB3-E4E5-4EC1-ACBD-30F3A55A70F4};Неверный тип данных;Первое знакомство с C#;ExerciseSlide
7;{04D61C06-8A32-41A6-A47E-2AE2D095DEF3};Ошибки преобразования типов;Первое знакомство с C#;ExerciseSlide
8;{2B6E076C-4617-4322-9BDE-C44A1D4F394F};Биткоины в массы!;Первое знакомство с C#;ExerciseSlide
9;{ad432c0f-e475-4381-9072-0b55ffd574db};Строки;Первое знакомство с C#;Slide
10;{ACE76228-B605-43B8-AC8D-4C85033AC7DF};Преобразование строки в число;Первое знакомство с C#;ExerciseSlide
11;{778bd3b0-243a-423d-a1c4-9230557979ff};Арифметические операции и var;Первое знакомство с C#;Slide
12;{956A2160-CEB6-4485-8A94-C39DFE364F48};Использование var;Первое знакомство с C#;ExerciseSlide
13;{3a14a28f-c11d-45b3-b3a9-1a3fac676ee7};Методы;Первое знакомство с C#;Slide
14;{d8578c7f-d7e2-4ce5-a3be-e6e32d9ac63e};Ваш первый метод;Первое знакомство с C#;ExerciseSlide
15;{D5B59540-410F-4F6D-8F04-B5613E264BD5};Главный вопрос Вселенной;Первое знакомство с C#;ExerciseSlide
16;{fe3a32fb-9f61-4a58-a2f4-547d4c8fac77};Переменные;Первое знакомство с C#;Slide
17;{a7a73125-2434-4b5d-9f31-4ef687fc8bcc};Области видимости;Первое знакомство с C#;QuizSlide
18;{F6559650-B3AF-4E5E-BE84-941FB21BC2AC};Добрый работодатель;Первое знакомство с C#;ExerciseSlide
19;{4A19ED27-B363-4F7A-A389-8388AD3ECBDF};Ошибки на этапе компиляции;Ошибки;Slide
20;{DB95DA10-7DD2-46CA-BFB2-6D0D7554B83F};Ошибки компиляции;Ошибки;QuizSlide
21;{7E86A275-9B84-4071-A0A3-2D1FE17B0DF1};Очепятки;Ошибки;ExerciseSlide
22;{F3C57AC8-D153-4E3A-A898-1668205AFBFC};Ошибки на этапе выполнения;Ошибки;Slide
23;{754B8DCB-E6F6-44A9-AEE6-9972BEB9AF7C};Минимум функции;Ошибки;ExerciseSlide
24;{B591027E-9E13-4125-8A4F-7A432FBCEA7D};Отладка;Ошибки;Slide
25;{4EFBB2FB-151E-4BDF-ACE2-03C2A97DD410};Эксперименты;Ошибки;Slide
26;{1FAAA541-C3F5-4D77-9C27-D0FA634FB180};Стилистические ошибки;Ошибки;Slide
27;{256FC426-4AFE-4207-8778-D0F4B0D091DE};Рефакторинг;Ошибки;Slide
